date,best_family,lambda_L,lambda_U,lambda_L_t,lambda_L_cl,AIC_best,AIC_gauss,regime
1993-12-31,Student-t,0.2640187179471331,0.2640187179471331,0.2640187179471331,0.07345741664584779,-4.708057761773528,1.0066066470306871,Tail-dependent
1994-01-31,Student-t,0.2784123227040258,0.2784123227040258,0.2784123227040258,0.1120250837476093,-5.0354784357832685,0.6611321171766831,Tail-dependent
1994-02-28,Student-t,0.2509268699864523,0.2509268699864523,0.2509268699864523,0.10336096499924721,-3.3129521683251983,0.4493553535290449,Tail-dependent
1994-03-31,Student-t,0.2594263692968048,0.2594263692968048,0.2594263692968048,0.12212227080512611,-3.662222493771046,0.20125510234092459,Tail-dependent
1994-04-30,Student-t,0.2501308913693362,0.2501308913693362,0.2501308913693362,0.11125390797899258,-3.2061223506211896,0.30858079013095474,Tail-dependent
1994-05-31,Student-t,0.25950463242966004,0.25950463242966004,0.25950463242966004,0.11594515240443391,-3.545113764633025,0.3145291054539574,Tail-dependent
1994-06-30,Student-t,0.272347822234313,0.272347822234313,0.272347822234313,0.14069015432922063,-4.427056481190213,-0.06334513152719312,Tail-dependent
1994-07-31,Student-t,0.22887589090954202,0.22887589090954202,0.22887589090954202,0.0940051813720737,-1.7189840072377978,1.5129223910821277,Tail-dependent
1994-08-31,Student-t,0.21048841310712182,0.21048841310712182,0.21048841310712182,0.08397304729394103,-1.0215127786596465,1.6362624193729132,Tail-dependent
1994-09-30,Student-t,0.18768593436558736,0.18768593436558736,0.18768593436558736,0.04678137118476651,0.16860896705574824,1.9725803066965728,Tail-dependent
1994-10-31,Student-t,0.19325998819874557,0.19325998819874557,0.19325998819874557,0.05497561058372237,0.0382525027112699,1.9765099037197973,Tail-dependent
1994-11-30,Frank,0.0,0.0,0.18613336067529027,0.049896559598545574,-0.19779484550275228,1.9483896212521188,Tail-dependent
1994-12-31,Student-t,0.20574138990101493,0.20574138990101493,0.20574138990101493,0.03663175107544398,-0.22135893504941606,2.325024831113564,Tail-dependent
1995-01-31,Student-t,0.22758424635132576,0.22758424635132576,0.22758424635132576,0.08487769552695032,-1.3735571394293835,1.9917265657074652,Tail-dependent
1995-02-28,Student-t,0.22379098381591603,0.22379098381591603,0.22379098381591603,0.02600161561564938,-0.9777280668218902,2.4542210131816584,Tail-dependent
1995-03-31,Student-t,0.21185137628905124,0.21185137628905124,0.21185137628905124,0.014980913251654621,-0.636520958891305,2.490256351790056,Tail-dependent
1995-04-30,Student-t,0.18735933441473607,0.18735933441473607,0.18735933441473607,0.0049512433429061,0.01799522351397531,2.4064067441556833,Tail-dependent
