date,best_family,lambda_L,lambda_U,lambda_L_t,lambda_L_cl,AIC_best,AIC_gauss,regime
1993-05-31,Student-t,0.15558447918358695,0.15558447918358695,0.15558447918358695,2.8516405124698426e-10,0.03436250185436096,1.9835257959653665,Tail-dependent
1993-06-30,Student-t,0.17030253450879024,0.17030253450879024,0.17030253450879024,1.486321357710378e-11,-2.758139989945775,1.9912439292752562,Tail-dependent
1993-07-31,Student-t,0.18173873774110683,0.18173873774110683,0.18173873774110683,5.293009962136904e-05,-1.798591346519248,1.9907509243139623,Tail-dependent
1993-08-31,Student-t,0.19185430215811639,0.19185430215811639,0.19185430215811639,0.018977450672975897,-1.7344379165256907,1.6387897142991594,Tail-dependent
1993-09-30,Student-t,0.20741749344448246,0.20741749344448246,0.20741749344448246,0.03440569969777625,-1.678811501637596,1.3778699595903658,Tail-dependent
1993-10-31,Student-t,0.21739644803248664,0.21739644803248664,0.21739644803248664,0.04646716813921875,-1.9655057386267316,1.1847598281840606,Tail-dependent
1993-11-30,Student-t,0.20759058001602781,0.20759058001602781,0.20759058001602781,0.06333802255888214,-1.284744868476328,0.7198540460654566,Tail-dependent
1993-12-31,Student-t,0.21023649108181586,0.21023649108181586,0.21023649108181586,0.07981214584622798,-1.3925062053503146,0.4769995376348024,Tail-dependent
1994-01-31,Student-t,0.20371976137540324,0.20371976137540324,0.20371976137540324,0.09459870701413786,-1.1932575444302147,0.43417398684960107,Tail-dependent
1994-02-28,Frank,0.0,0.0,0.16610559358644236,0.08852119640809196,-1.2995212561000562,0.28870571263713396,Tail-dependent
1994-03-31,Frank,0.0,0.0,0.16834592848572405,0.10665615086197515,-2.093939045139522,0.008093244768998531,Tail-dependent
1994-04-30,Frank,0.0,0.0,0.16193920954558289,0.10508606456404344,-1.9944002190373014,0.02771751624963925,Tail-dependent
1994-05-31,Frank,0.0,0.0,0.1839241752022486,0.1282704432899768,-2.4350436160024262,-0.18899608430197778,Tail-dependent
1994-06-30,Frank,0.0,0.0,0.20283482526588648,0.164990753145802,-3.7600633605106957,-0.7526870917670627,Tail-dependent
1994-07-31,Frank,0.0,0.0,0.19527002612327676,0.13439404436244312,-2.4760059273023503,0.39492404041507,Tail-dependent
1994-08-31,Frank,0.0,0.0,0.18083744086900538,0.130687246424218,-1.9025853301961018,0.559670377467641,Tail-dependent
1994-09-30,Frank,0.0,0.0,0.1500246810178542,0.08708773193216417,-0.7289029364406998,1.1787357833455727,Tail-dependent
1994-10-31,Frank,0.0,0.0,0.1654005072197022,0.10459318946505486,-0.9898445046459581,1.0860933793784882,Tail-dependent
1994-11-30,Frank,0.0,0.0,0.15282303658578916,0.0914638565612698,-1.3862690267102895,1.0329433628500113,Tail-dependent
